date,region,product,revenue,orders,support_tickets,churn_rate
2025-01-01,US-East,Enterprise,41001.11,7,4,0.0314
2025-01-01,US-East,Pro,12608.67,7,5,0.0274
2025-01-01,US-East,Basic,3915.12,6,6,0.0242
2025-01-01,US-West,Enterprise,34645.18,5,4,0.0285
2025-01-01,US-West,Pro,10084.87,7,11,0.025
2025-01-01,US-West,Basic,3131.43,7,5,0.0273
2025-01-01,Europe,Enterprise,30878.97,7,4,0.0317
2025-01-01,Europe,Pro,9440.77,5,6,0.0291
2025-01-01,Europe,Basic,3146.53,7,5,0.0229
2025-01-01,Asia,Enterprise,25255.72,6,4,0.0301
2025-01-01,Asia,Pro,6910.24,3,11,0.028
2025-01-01,Asia,Basic,2224.8,5,1,0.0313
2025-01-02,US-East,Enterprise,37183.8,6,6,0.0299
2025-01-02,US-East,Pro,11000.2,5,3,0.025
2025-01-02,US-East,Basic,4097.15,7,5,0.0261
2025-01-02,US-West,Enterprise,35328.15,5,6,0.0369
2025-01-02,US-West,Pro,10254.83,5,3,0.0247
2025-01-02,US-West,Basic,3481.87,5,5,0.0377
2025-01-02,Europe,Enterprise,31232.49,3,5,0.0313
2025-01-02,Europe,Pro,9355.48,3,6,0.0234
2025-01-02,Europe,Basic,3035.13,7,1,0.0309
2025-01-02,Asia,Enterprise,22548.59,6,7,0.0366
2025-01-02,Asia,Pro,6890.34,4,7,0.0437
2025-01-02,Asia,Basic,2412.2,2,2,0.0298
2025-01-03,US-East,Enterprise,37883.53,8,6,0.0277
2025-01-03,US-East,Pro,12474.57,10,6,0.0283
2025-01-03,US-East,Basic,4014.32,5,12,0.0367
2025-01-03,US-West,Enterprise,35703.81,7,4,0.0309
2025-01-03,US-West,Pro,11388.09,3,3,0.0276
2025-01-03,US-West,Basic,3587.52,7,4,0.0246
2025-01-03,Europe,Enterprise,33606.01,10,8,0.0325
2025-01-03,Europe,Pro,9395.87,3,5,0.0283
2025-01-03,Europe,Basic,3320.54,8,4,0.0288
2025-01-03,Asia,Enterprise,26263.96,5,6,0.0253
2025-01-03,Asia,Pro,7724.02,2,4,0.029
2025-01-03,Asia,Basic,2408.92,6,9,0.0306
2025-01-04,US-East,Enterprise,23440.17,5,4,0.0318
2025-01-04,US-East,Pro,6957.64,6,8,0.0315
2025-01-04,US-East,Basic,2322.06,6,9,0.0288
2025-01-04,US-West,Enterprise,21292.76,3,10,0.0269
2025-01-04,US-West,Pro,6122.49,2,4,0.0331
2025-01-04,US-West,Basic,2180.73,3,3,0.031
2025-01-04,Europe,Enterprise,19058.34,2,7,0.0285
2025-01-04,Europe,Pro,5404.28,2,4,0.0298
2025-01-04,Europe,Basic,1792.04,4,4,0.0303
2025-01-04,Asia,Enterprise,15123.54,3,7,0.0303
2025-01-04,Asia,Pro,4300.42,4,5,0.0204
2025-01-04,Asia,Basic,1467.59,4,9,0.0349
2025-01-05,US-East,Enterprise,23946.23,4,9,0.0295
2025-01-05,US-East,Pro,7190.4,5,10,0.0315
2025-01-05,US-East,Basic,2488.99,2,6,0.0308
2025-01-05,US-West,Enterprise,21607.5,6,2,0.0308
2025-01-05,US-West,Pro,6326.62,6,3,0.0353
2025-01-05,US-West,Basic,1863.3,1,8,0.0198
2025-01-05,Europe,Enterprise,18012.75,5,6,0.0318
2025-01-05,Europe,Pro,5153.67,2,5,0.0247
2025-01-05,Europe,Basic,1754.81,1,2,0.0228
2025-01-05,Asia,Enterprise,14282.71,2,4,0.0186
2025-01-05,Asia,Pro,4301.95,2,5,0.0224
2025-01-05,Asia,Basic,1540.64,6,4,0.0288
2025-01-06,US-East,Enterprise,38129.46,7,5,0.0247
2025-01-06,US-East,Pro,11629.95,6,8,0.0282
2025-01-06,US-East,Basic,3799.93,7,7,0.0267
2025-01-06,US-West,Enterprise,33236.39,5,4,0.0257
2025-01-06,US-West,Pro,10419.25,6,8,0.0267
2025-01-06,US-West,Basic,3503.8,5,4,0.021
2025-01-06,Europe,Enterprise,28346.3,6,4,0.035
2025-01-06,Europe,Pro,8757.39,7,8,0.0244
2025-01-06,Europe,Basic,3031.34,6,5,0.027
2025-01-06,Asia,Enterprise,24754.03,4,9,0.0284
2025-01-06,Asia,Pro,7593.31,3,7,0.0308
2025-01-06,Asia,Basic,2473.07,3,7,0.028
2025-01-07,US-East,Enterprise,43127.82,9,6,0.0278
2025-01-07,US-East,Pro,12257.15,9,7,0.0254
2025-01-07,US-East,Basic,3653.43,10,6,0.0389
2025-01-07,US-West,Enterprise,35091.57,7,8,0.0322
2025-01-07,US-West,Pro,10254.16,9,5,0.0249
2025-01-07,US-West,Basic,3126.52,7,6,0.0304
2025-01-07,Europe,Enterprise,30065.5,3,5,0.0249
2025-01-07,Europe,Pro,9255.74,4,5,0.0292
2025-01-07,Europe,Basic,2990.28,6,2,0.0264
2025-01-07,Asia,Enterprise,24188.44,4,5,0.0375
2025-01-07,Asia,Pro,6710.14,2,3,0.0347
2025-01-07,Asia,Basic,2559.01,6,1,0.0244
2025-01-08,US-East,Enterprise,39074.15,8,4,0.0312
2025-01-08,US-East,Pro,12190.08,11,3,0.025
2025-01-08,US-East,Basic,3677.64,10,7,0.0362
2025-01-08,US-West,Enterprise,30407.07,2,8,0.0273
2025-01-08,US-West,Pro,10389.73,3,6,0.0219
2025-01-08,US-West,Basic,3504.87,11,2,0.0336
2025-01-08,Europe,Enterprise,30480.14,8,7,0.0326
2025-01-08,Europe,Pro,8700.85,6,5,0.0262
2025-01-08,Europe,Basic,2866.63,10,5,0.0271
2025-01-08,Asia,Enterprise,24222.78,9,3,0.0295
2025-01-08,Asia,Pro,7210.14,8,8,0.0234
2025-01-08,Asia,Basic,2380.36,6,10,0.0306
2025-01-09,US-East,Enterprise,41017.83,8,4,0.0322
2025-01-09,US-East,Pro,11918.12,10,5,0.0296
2025-01-09,US-East,Basic,3806.22,10,5,0.0343
2025-01-09,US-West,Enterprise,34614.99,4,2,0.0329
